Dates;PETR4 BZ Equity;VALE3 BZ Equity;ITUB4 BZ Equity;BBDC4 BZ Equity;SUZB3 BZ Equity;CYRE3 BZ Equity;EMBR3 BZ Equity;SOMA3 BZ Equity;SMFT3 BZ Equity;JBSS3 BZ Equity;GGBR4 BZ Equity;CPLE6 BZ Equity;RENT3 BZ Equity;IBOV Index
02/11/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/11/2021;-0,041938689;-0,078948635;0,009451478;-0,009285417;0,017430518;0,039141299;0,000895255;0,085292953;0,009564874;-0,010822616;-0,040257677;0,023256862;0,057971702;0,000625285
04/11/2021;-0,032169283;-0,011437295;-0,054203563;-0,068453788;-0,009488312;-0,022081861;-0,029053337;0,002024975;-0,001428912;0,030012971;-0,000789344;-0,018227514;-0,00083415;-0,021096327
05/11/2021;-0,005785937;-0,030114428;-0,012163486;0,048190553;0,001013685;0,054636819;0,06249244;-0,002700879;-0,012470186;0,023223483;-0,040797318;-0,003350087;0,037226361;0,013563068
08/11/2021;0,010390703;0,053007625;-0,005258557;-0,02326981;0,005456212;-0,044539123;-0,010002258;-0,013614914;-0,019986042;-0,021113778;-0,02937015;0;-0,032480999;-0,000411249
09/11/2021;0,019712541;-0,024862745;-0,010156855;-0,011898157;-0,01257368;0,044539123;0,021189982;0,008191172;0,006869507;-0,005812434;0,007962287;0,039478811;0,022644026;0,007169711
10/11/2021;-0,007914117;-0,003798531;0,024984863;0,054945778;-0,005115101;0,035864177;-0,031734895;0,006775094;0,0666756;0,003174606;-0,012578782;0,012820688;0,017984432;0,004089128
11/11/2021;0,00075643;0,034708046;-0,002166848;0,004897354;0,039023455;0,02381792;0,015341085;0,033856536;0,058199856;0,008678555;0,05821271;0,003179653;0,050575305;0,015238573
12/11/2021;0,020210269;0,004255013;-0,002171554;0,009723338;0,013325692;-0,040645989;-0,045381452;0,002607563;-0,009540402;0,000785238;0,011474881;-0,009569451;-0,028257526;-0,011780949
15/11/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16/11/2021;0,01032077;-0,029267483;-0,010489607;-0,001436514;0,034439983;-0,060231864;-0,021624951;-0,051430365;-0,03548044;-0,006035972;0,001536594;-0,009661911;-0,014631773;-0,01832543
17/11/2021;-0,025628144;-0,020255014;0,003946508;0,004356379;-0,014396915;-0,026379616;-0,025914289;-0,008258822;-0,025607252;-0,044128763;-0,004716404;-0,01467019;0,012113494;-0,014036355
18/11/2021;-0,001506024;-0,041944419;-0,016770031;-0,00969485;-0,004206507;-0,004120885;0,00523686;0,005513453;0,00046307;0,026603089;-0,041921545;0;0,021311141;-0,005087791
19/11/2021;-0,016717715;0,026908873;-0,008491671;-0,000963959;0,026284958;0,039802893;-0,016276089;0,048299126;0,050552279;-0,001072099;0,020799312;0,019512814;0,022551515;0,005928344
22/11/2021;0,009912395;0,05410832;-0,009470195;-0,017239477;-0,02112489;-0,048790164;-0,017036187;-0,062837284;-0,03630244;-0,017311766;0,025491872;-0,016234123;-0,019513828;-0,00889713
23/11/2021;0,053188311;0,025994454;0,01662586;0,019166466;0,013255259;0,001387925;0,010742291;-0,020430439;-0,039567647;0,005713524;0,005878737;0,017843134;0,013377746;0,014884893
24/11/2021;0,020296228;0,02294365;0,026386755;0,025448815;0,025261373;0,005532518;0,000485555;-0,020130083;-0,02062918;-0,016411747;0,01626926;-0,017843134;-0,011662381;0,008266159
25/11/2021;0,04311756;-0,006785437;0,009073296;0,007996304;0,003844398;0,047804457;0,021134312;0,030749652;0,031021337;-0,024851202;0,009165525;0,008150004;0,023171711;0,012333995
26/11/2021;-0,039598908;-0,026737255;-0,019106096;-0,040744422;0,001460654;-0,04230238;-0,087875905;-0,049811813;-0,089920594;-0,028389003;-0,026617634;-0,018018506;-0,032873558;-0,034487819
29/11/2021;0,034521895;0,012451297;-0,006597781;-0,007407241;0,015568743;-0,037740328;0,024604009;-0,01491452;-0,030273711;0,010128867;0,009716914;0,008230499;-0,002098152;0,005752795
30/11/2021;-0,001358235;0,006453949;-0,012433553;-0,017905042;0,008763358;-0,031840606;-0,031373105;-0,022028996;-0,04221406;0,02614528;0;0,006535971;-0,022054274;-0,008778274
01/12/2021;0,005759799;0,003994869;-0,007174919;-0,004041304;0,033099948;-0,032128277;-0,044879326;-0,006936444;-0,062145955;-0,047977031;0,014256169;-0,004897969;-0,01380536;-0,011257506
02/12/2021;-0,04279466;0,045373772;0,037106731;0,04871884;-0,000861698;0,053947324;0,056308022;-0,021102776;0,024405627;0,032713874;0,055348614;0,025849581;0,063604355;0,035977915
03/12/2021;0,014005831;-0,022290411;-0,003475242;-0,002857145;-0,015638894;0,071483771;-0,010906366;0,062759689;0,045998013;-0,049630734;0,006855094;-0,009615459;0,020994058;0,005759887
06/12/2021;0,004509982;0,052843504;0,01168086;0,020972823;0,013394999;0,030994898;0,054863936;0,01106614;0,024371637;0,009828821;0,023076915;-0,011336154;-0,001634723;0,016885148
07/12/2021;0,016137689;0,00736361;-0,012551561;-0,011900553;0,007745972;-0,013730193;0,003454235;0,02033476;-0,010758576;0,019663143;0,015659932;0,01615544;-0,016196937;0,006518177
